title,author,release_date,page_count,language,publisher,genre,format,reviews,ratings,description,avg_score,ibsn,link
Zakamarki nocy,Łukasz Dubaniowski,2024-12-30,390,polski,GMORK,horror,e-book,1,0,"„Kiedy zapada noc, na żer wychodzą…” Duchy? Potwory? Mordercy? Z pewnością.Ludzkie lęki, traumy, prywatne koszmary? Również.Magiczne stworzenia zamieszkujące las? Nienazwane, nieokreślone byty nie z tego świata? Może sam diabeł? Niewykluczone.A co, jeśli w mroku pojawiają się nagle budynki, których wcześniej nie było? Pociąg, któremu nigdy nie brakuje paliwa? Sny i maszyny, które pożerają człowieczeństwo?Czasami człowiek od razu wie, że staje oko w oko z czymś odrażającym, co nie powinno mieć racji bytu. A czasami natyka się na coś tak prozaicznego, jak np. paczkomat… i wtedy dopiero zaczyna się koszmar.Jeśli chcecie sprawdzić, co jeszcze kryje się w zakamarkach nocy, musicie być ostrożni. Bo i Was może pochłonąć noc.","8,0",,https://lubimyczytac.pl/ksiazka/5173378/zakamarki-nocy
Podszepty. Antologia opowiadań grozy,Dariusz Jacek Bednarczyk,2024-12-27,109,polski,Fantastyczna fuzja,horror,e-book,1,0,"Antologia składająca się z dwunastu opowiadań grozy. Autorzy: Grzegorz Andreasik, Dariusz Jacek Bednarczyk, Ewa Chachlica,Krzysztof T. Dąbrowski, Adrian Iwaniak, Anna Kłodnicka, Paweł Kręcisz,Sebastian Lurzyński, Urszula Maciuga, Tomasz Nowak, Dominika Vicente,Bohdan Waszkiewicz","8,0",9788396740304,https://lubimyczytac.pl/ksiazka/5173254/podszepty-antologia-opowiadan-grozy
Zakazany Rytuał,Olaf Harwardt,2024-12-20,251,polski,Olaf Harwardt self-publishing,horror,papier,2,1,"W miasteczku Harrison stoi opuszczony Dom Wiedźmy – miejsce, które od lat owiane jest mroczną tajemnicą. Nikt nie odważył się przekroczyć jego progów... aż do teraz. Czwórka przyjaciół, szukając przygód, łamie tabu i wchodzi do środka, odkrywając starą Księgę. To, co miało być niewinną zabawą, szybko przeradza się w koszmar. Rytuały, które odprawiają, budzą coś, co nigdy nie powinno zostać przebudzone.Każdy z przyjaciół musi zmierzyć się z własnymi lękami, podczas gdy przerażająca moc z przeszłości zaczyna wciągać ich w wir nadprzyrodzonych wydarzeń. Czy uda im się odkryć tajemnicę Domu Wiedźmy, zanim będzie za późno? Czy złamanie zasad będzie kosztować ich życie?„Zakazany rytuał” to opowieść pełna napięcia, mrocznej atmosfery i niespodziewanych zwrotów akcji, która nie pozwoli Ci oderwać się od lektury aż do ostatniej strony.","8,5",9788397288508,https://lubimyczytac.pl/ksiazka/5170395/zakazany-rytual
Gnom Jari z Kryształowej Góry i inne baśnie,praca zbiorowa,2024-12-17,252,polski,Bibliotekarium,"baśnie, legendy, podania",papier,0,0,"Zbiór siedemnastu baśni, które przenoszą czytelnika do magicznych światów. Opowieści nie tylko pobudzają wyobraźnię, ale również stawiają przed młodym odbiorcą szereg ważnych pytań. Bawią, uczą empatii oraz krytycznego spojrzenia na świat.","0,0",9788396959997,https://lubimyczytac.pl/ksiazka/5174363/gnom-jari-z-krysztalowej-gory-i-inne-basnie
Sny Umarłych 2024. Polski rocznik weird fiction,Michał Bończyk,2024-12-15,360,polski,Wydawnictwo IX,horror,papier,6,2,"„Związek weird fiction i science fiction można określić jako aporetyczny. Z pewnością różnić te dwie konwencje będą się w samych rdzeniach, u korzeni: jedna wszak oparta jest na podszeptach irracjonalnych, na tych wszystkich dziwacznych głosach z głębi ducha lub nadciągających z jakiegoś innego świata o mistycznej proweniencji, druga zaś dumnie podkreśla swój rodowód wywiedziony ze scjentyzmu i twardego racjonalizmu, w którym nie celebruje się rzeczy skrytych w cieniu (przyszłości, kosmosu, głębi oceanicznej),ale usiłuje rzucić na nie ostre światło metody naukowej.Próba połączenia tych dwóch paradygmatów wydaje się zmierzać wprost ku katastrofie. Kiedy metafizyczne i mistyczne intuicje ubiera się na kartach literatury fantastycznej w szaty usystematyzowanej nauki, rezultat na ogół bywa rozczarowujący. To właśnie wtedy – w skrajnych, najgorszych przypadkach – mają szansę powstać wszelkie pseudonaukowe pop-systemy magiczne, mówiące precyzyjnie, ile księżycowego pyłu należy odmierzyć i jakiej długości motylą nogę wrzucić do próbówki, by otrzymać eliksir mogący zmienić człowieka w trytona, albo pod jakim kątem trzeba trzymać magiczną różdżkę, aby poraziła przeciwnika ognistą kulą. Zestawienie dwóch skrajnych porządków w taki sposób obydwa się ze szkodą dla obydwu: trywializuje je i czyni infantylnymi. Celem tej antologii, choć weird fiction często eksploruje tematy eschatologiczne i apokaliptyczne, nie było jednakże doprowadzenie do żadnej katastrofy, a już na pewno nie do katastrofy literackiej. Aby do tego nie dopuścić i z zadanego tematu – mariażu weird fiction i science fiction – wyjść obronną ręką, należało zastanowić się nad punktami stycznymi, w których te skrajne konwencje okazują się dochodzić do podobnych rezultatów i zaczynają eksplorować podobne obszary.Pierwszym takim obszarem z pewnością jest poznanie. Zarówno twarda fantastyka naukowa w paradygmacie – dla jasności kontekstu przyjmijmy – Lemowskim, jak i Lovecraftowskie weird fiction, mimo wszelkich różnic między nimi, mówią jednym głosem na temat możliwości poznania przez człowieka tajemnic świata. Możliwości te określają wprost jako mierne, sytuując człowieka w miejscu, w którym jego wiedza o świecie okazuje się w jednym wypadku zlepkiem przypuszczeń wywiedzionych z niepełnych przesłanek, w drugim zaś – banieczką urojeń podtrzymywanych jedynie po to, aby homo sapiens nie stoczył się w otchłań obłędu, przytłoczony prawdziwą naturą rzeczywistości.Drugim obszarem wspólnym – do którego ścieżka prowadzi zresztą wprost z pierwszego – jest niesamowitość. Różne słowa na nią są stosowane w nomenklaturze humanistycznej – Das Unheimliche / uncanny, weird, eerie; wszystkie te określenia, mimo subtelnych różnic semantycznych, krążą natomiast wokół zjawiska lęku i dyskomfortu wywołanego przez dysonans poznawczy, gdy rzeczywistość znana i oswojona ukazuje swoje inne oblicze, gdy do tej pory pewny grunt okazuje się grząski, a prosta ścieżka zaczyna się wić i skręcać w ciemny las”.– Wojciech Gunia","8,8",9788368257205,https://lubimyczytac.pl/ksiazka/5171607/sny-umarlych-2024-polski-rocznik-weird-fiction
Cthulhu by Gaslight: Investigator’s Guide,William A. Barton,2024-12-14,,angielski,Chaosium,horror,papier,0,0,"Adventure, Mystery, & Horror in the Late Victorian EraThe late 1880s—Victorian England. Mystery and adventure in fog-shrouded streets and alleyways. Secret cabals pledge to bring horror and the ruin of civilization. Grisly murder and wicked crimes.Cthulhu by Gaslight takes the Call of Cthulhu roleplaying game back to the days of Queen Victoria. Whether in Great Britain or its colonies, or beyond to the banks of East Coast USA or the lands of Asia, the Victorian Age brims over with wonder and dark shadows. Background on the 1880s to 1900 period. Full character creation rules. Call of Cthulhu basic rules. Investigator equipment and weapons.This book introduces both new and experienced players to the Gaslight setting and the Call of Cthulhu tabletop roleplaying game, and contains all the rules for creating Victorian investigators, as well as the basic rules of the full Call of Cthulhu game, enabling everyone to get into the action and mysteries right away. A companion volume, the Cthulhu by Gaslight: Keepers' Guide, provides game masters with Victorian Age secrets and plots, and ready-to-run scenarios. Victorian London, the Empire, and beyond. Exploration, Fringe Science, and the Occult.This supplement works best with the Call of Cthulhu roleplaying game and, optionally, with the Pulp Cthulhu supplement, both available separately.","0,0",9781568824949,https://lubimyczytac.pl/ksiazka/5172406/cthulhu-by-gaslight-investigator-s-guide
Omacnica,Piotr Pawłowski,2024-12-11,240,polski,Novae Res,horror,papier,4,3,"Licho zawsze cię znajdzieDetektyw Grzegorz Grabarski, znany jako Grabarz, to specjalista od nadnaturalnych zbrodni. W swojej karierze widział już wiele, ale nic nie mogło przygotować go na serię okultystycznych morderstw, z którą wkrótce miał się zmierzyć…Od początku śledztwo jest pełne niejasności i fałszywych tropów, ale sprawa komplikuje się jeszcze bardziej, gdy Grabarza nawiedzają przerażające wizje oraz koszmary, które zaczynają się ziszczać. Detektyw musi stawić czoła demonom, z jakimi nie walczył od lat.W pogoni za prawdą, zwodzony podszeptami nie z tego świata, Grabarz coraz bardziej traci grunt pod nogami. Co, jeśli jego najgorsze obawy staną się rzeczywistością? Czy zostanie mu wtedy jeszcze coś, co warto ratować?Łatwo popaść w obłęd, zwłaszcza kiedy wiesz, że licho nie śpi.I może dopaść cię w każdej chwili.","7,5",9788383734484,https://lubimyczytac.pl/ksiazka/5169495/omacnica
Eleonora,Edgar Allan Poe,2024-12-05,15,polski,4P Acoustic,horror,audiobook,129,8,"Eleonora to dzieło E. A. Poe, które nawet przez największych fanów amerykańskiego pisarza może być zapomniane. Opowieść o miłości człowieka z... Tu autor postanawia nas zaszokować. Mężczyzna przepełniony uczuciem musi się zmierzyć z rzeczywistością, której nie do końca jest w stanie sprostać. Czy uda mu się?Audiobook dostępny ze specjalnym udźwiękowieniem wprowadzi nas w atmosferę towarzyszącą bohaterowi w czasie poszukiwań odpowiedzi na najważniejsze pytania jego życia.Czy miłość może go uratować? Czy człowiek musi być zawsze zakochany? A może uczucie go wyniszczy do cna?Tego wszystkiego dowiesz się w produkcji 4P Acoustic Eleonora, a także w innych utworach z serii Historia z dźwiękiem.Edgar Allan Poe ""Eleonora""Czyta: Wiktor PiechowskiReżyseria dźwięku: Aniela MazurProdukcja: 4P Acoustic","7,4",9788368272307,https://lubimyczytac.pl/audiobook/5169787/eleonora
Demon z samotnej wyspy,Edogawa Ranpo,2024-12-05,320,polski,Tajfuny,horror,papier,17,6,"Autor Gąsienicy powraca w pełnowymiarowej powieści. Kinnosuke Minoura – przeciętny młodzieniec – wykonuje nudną pracę biurową i podkochuje się w koleżance z pracy. Drobne przejęzyczenie całkowicie zmieni jego dotychczasowe szare życie, a nasz bohater trafi w sam środek spirali szokujących zbrodni, zagadkowych szyfrów i ukrytych skarbów. Przewodnikiem Minoury po świecie intryg i tajemnic stanie się zakochany w nim bez pamięci Michio Moroto, przystojny student medycyny, w wolnym czasie przeprowadzający makabryczne eksperymenty.","7,5",9788367034258,https://lubimyczytac.pl/ksiazka/5120408/demon-z-samotnej-wyspy
Duch na rozstaju dróg. Bożonarodzeniowa antologia opowieści niesamowitych,praca zbiorowa,2024-12-03,640,polski,Zysk i S-ka,horror,papier,15,12,"Nowele i opowiadania zawarte w tej antologii pochodzą z różnych czasów i kręgów kulturowych.Zostały napisane zarówno przez poczytnych i popularnych do dzisiaj autorów, jak i twórców znanych nielicznym. Łączy je to, że ukazują się w języku polskim po raz pierwszy, a także to, że wszystkie należą do gatunku, który niezmiennie cieszy się popularnością wśród czytelników – literatury grozy.Antologia zawiera między innymi wigilijną opowieść Kryształ górski pióra XIX-wiecznego klasyka literatury austriackiej Adalberta Stiftera; opowiadania grozy brytyjskich pisarzy epoki wiktoriańskiej Mrs J.H. Riddell i W.F. Harveya oraz amerykańskiej powieściopisarki Ellen Glasgow. Na osobną uwagę zasługuje opowiadanie Tajemniczy obcy napisane przez urodzonego w Zielonej Górze niemieckiego pisarza Karla Adolfa von Wachsmanna, które zdaniem krytyków jest pod wieloma względami prekursorskie wobec powstałej ponad pół wieku później słynnej powieści Brama Stokera Dracula.","7,9",9788383354132,https://lubimyczytac.pl/ksiazka/5163629/duch-na-rozstaju-drog-bozonarodzeniowa-antologia-opowiesci-niesamowitych
