title,author,release_date,page_count,language,publisher,genre,format,reviews,ratings,description,avg_score,ibsn,link
"Opowiedz mi, kim będziesz",Anna Falatyn,2024-12-31,,polski,NieZwykłe,"literatura obyczajowa, romans",papier,1,0,Ta książka nie posiada jeszcze opisu.,"9,0",,https://lubimyczytac.pl/ksiazka/5097278/opowiedz-mi-kim-bedziesz
Intuicja,Angela Santini,2024-12-30,,polski,Tree House Media,"literatura obyczajowa, romans",e-book,2,3,"Charlotte zawsze fascynowały tajemnice ludzkiego umysłu. Jako psycholog widziała już wszystko – do czasu, gdy poznaje Ryana, więźnia zakładu karnego o zaostrzonym rygorze.W miarę jak go poznaje, zaczyna wątpić w jego winę.Ryan jest czarujący i inteligentny, ale także wycofany i tajemniczy.Zagłębiając się w jego sprawę, Charlotte odkrywa tajemnice i spiski, które grożą zniszczeniem wszystkiego, w co do tej pory wierzyła.Jest zmuszona wybierać między obowiązkiem wobec prawa a rosnącym uczuciem do niego.Ale czy może mu zaufać?Czy Ryan Baker naprawdę jest niewinny, czy też prowadzi niebezpieczną grę?","9,5",9788397177307,https://lubimyczytac.pl/ksiazka/5173815/intuicja
To nie był przypadek,Dina Knauff,2024-12-30,188,polski,BookEdit,"literatura obyczajowa, romans",papier,1,1,"Joanna jest szczęśliwa – ma stabilną pracę, troskliwego partnera i marzenia o wspólnej przyszłości. Wszystko diametralnie się zmienia, gdy otrzymuje niespodziewaną diagnozę, rozstaje się z Matuszem, a w pracy dostaje propozycję awansu. Rozpoczyna się walka o zdrowie i własne szczęście. Los stawia przed nią nowe relacje i emocje, ale także konieczność podejmowania kluczowych decyzji. Z każdym kolejnym dniem odkrywa, że czasem to, co wydaje się końcem, może być początkiem czegoś nowego. Spotkania, rozmowy i wyzwania, które musi pokonać, sprawiają, że zaczyna dostrzegać sens w tym, co wcześniej uznawała za czysty przypadek.","2,0",9788368032802,https://lubimyczytac.pl/ksiazka/5173431/to-nie-byl-przypadek
Nasze zakłamane obietnice,Paula Pajka,2024-12-27,303,polski,NieZwykłe,"literatura obyczajowa, romans",papier,13,6,"Osiemnastoletnia Florence Ladis nie przepadała za hucznymi imprezami, w których tak chętnie uczestniczyli jej rówieśnicy. Wolała założyć pointy i tańczyć, ponieważ tylko balet pomagał jej zapomnieć o wszystkim, co ją otaczało.Jej ukochana mama odeszła, zostawiając po sobie niewyobrażalną pustkę. Na domiar złego młodsza siostra Florence zachorowała i obie wraz z ojcem musiały przeprowadzić się do Las Vegas, gdzie mała Charlotte mogła otrzymać szansę na skuteczniejsze leczenie.Wtedy też ze względu na złą sytuację rodzinną Florence musiała zrezygnować z baletu, mimo że ten tak wiele dla niej znaczył. Gdy tańczyła, mogła poczuć się tak, jakby jej mama znów znalazła się obok.Los jednak sprawił, że dziewczyna przypadkowo trafiła do teatru, gdzie poznała Nicholasa Toretto. Nie miała pojęcia, jak ta znajomość odmieni jej życie i że pozwoli jej poznać gorzki smak zakłamanych obietnic.Książka zawiera treści nieodpowiednie dla osób poniżej szesnastego roku życia.","6,8",9788383627809,https://lubimyczytac.pl/ksiazka/5135239/nasze-zaklamane-obietnice
Gods of Lies,Bianca Patricia,2024-12-27,304,polski,NieZwykłe,"literatura obyczajowa, romans",papier,9,5,"Trzeci i finałowy tom „Trylogii Bogowie”.Scarlett i Dominic zostali małżeństwem. Ku niezadowoleniu nowożeńców w ich sprawy zaczęła wtrącać się matka mężczyzny.Państwo Findlay decydują się na podjęcie poważnych kroków, aby naprawić swoją relację, ale osoby trzecie im tego nie ułatwiają. W życiu małżeństwa pojawia się eksdziewczyna Dominica, poddając ich uczucie testowi, choć nie byli na niego przygotowani. Intrygi dawnej partnerki Findlaya zmuszają parę do rozłąki.Scarlett ma tylko jeden cel: pragnie się dowiedzieć, kto stoi za pożarem, w którym zginęli jej rodzice.Książka zawiera treści nieodpowiednie dla osób poniżej osiemnastego roku życia.","8,2",9788383627793,https://lubimyczytac.pl/ksiazka/5168006/gods-of-lies
Rally,Devney Perry,2024-12-27,,angielski,Devney Perry LLC,"literatura obyczajowa, romans",e-book,0,0,"Pregnant. Homeless. Broke. Not what I’d expected for my senior year in college. Neither was Rush Ramsey.We met the day I went camping and got stranded on the side of a gravel road. I didn’t believe in white knights who freed damsels in distress. Life had taught me that if something bad could happen, it probably would. The only person who would save me was me.But Rush Ramsey rescued me that day. He was sweet and kind and charming. He made a dark, starry night a little less lonely.I should have realized it was too good to be true. That an incredible night of passion would come with consequences. That the bad luck rollercoaster I’d been riding for twenty-one years wasn’t ready to stop.Because Rush Ramsey, Treasure State University’s most eligible bachelor and quarterback extraordinaire, just got me pregnant.","0,0",,https://lubimyczytac.pl/ksiazka/5114281/rally
Kochaj coraz mocniej,Ilona Gołębiewska,2024-12-27,,polski,Empik Go,"literatura obyczajowa, romans",audiobook,0,0,"Lilianna Horczyńska od dziecka kocha muzykę i chce zostać uznaną pianistką. Kolejne szczeble trudnej edukacji muzycznej, dostanie się na instrumentalistykę, wyjazd na uczelnię do Wiednia – to wszystko przybliża ją do spełnienia marzeń. Kończy studia z wyróżnieniem, a jej koncert dyplomowy zostaje gorąco przyjęty przez publiczność.Postanawia spędzić wakacje na Podlasiu, we dworze na Lipowym Wzgórzu, który od dwustu lat jest rodzinnym gniazdem Horczyńskich. Tuż po przyjeździe beztroskie chwile przerywa nagła choroba ukochanej babci. Diagnoza lekarzy brzmi niczym wyrok, a jedynym ratunkiem jest ryzykowna operacja. Zaczyna się walka z czasem.Pewnego dnia Lilka wśród pamiątek po pradziadku odnajduje stare zdjęcie i listy, dzięki czemu trafia na ślad dwóch tajemniczych kobiet. Prawda, którą odkrywa, nie tylko zmieni jej życie, ale i zburzy spokój całej rodziny. Niespodziewanie dostaje ofertę pracy w miejscowym domu kultury. Dostrzega lokalną biedę i brak pomocy dla najzdolniejszych uczniów, co budzi jej sprzeciw. Oparciem będzie dla niej Miłosz, mężczyzna poznany przed laty w niezwykłych okolicznościach. Jego rodzinę i rodzinę Horczyńskich łączą bolesne wydarzenia sprzed lat. Czy zła przeszłość wpłynie na uczucie rodzące się między dwojgiem młodych ludzi? Czy Lilka sprosta piętrzącym się problemom? Czy odzyska upragniony spokój?Intrygująca, mocna i niezwykle prawdziwa opowieść o szukaniu własnej drogi, spełnianiu życiowych pasji i miłości, która potrafi uchronić przed zapomnieniem. Autorka znakomicie pokazuje, że wierność swoim marzeniom daje prawdziwe szczęście, a pokonanie trudnych sytuacji uczy wiary we własne siły i pozwala odważnie decydować o przyszłości.","0,0",9788327290410,https://lubimyczytac.pl/audiobook/5172541/kochaj-coraz-mocniej
Shu­to­ut,Avery Keelan,2024-12-26,385,polski,NieZwykłe,"literatura obyczajowa, romans",papier,174,22,"Wytatuowany nieznajomy. Przygoda na jedną noc, a teraz również jej nowy współlokator.Seraphina Carter po przeprowadzce i zmianie uczelni nie ma innego wyjścia, jak zamieszkać ze swoim starszym bratem i jego dwoma kolegami z drużyny hokejowej.Dziewczyna nie jest z tego faktu zadowolona. Będzie musiała znosić nie tylko śmierdzące sportowe ciuchy i facetów z tendencją do zjadania wszystkiego, co znajduje się w lodówce, ale też panienki wpadające do ich domu jak do siebie. To dlatego sportowcy to zdecydowanie nie jej typ.Kiedy różowowłosa Sera wkracza do mieszkania obładowana pudłami ze swoim dobytkiem, zderza się z nieprzewidzianymi problemami.Tyler Donohue, facet, z którym dwa miesiące wcześniej przeżyła przygodę, zostaje jej nowym współlokatorem. W dodatku to najseksowniejszy facet, z jakim kiedykolwiek spała.Na szczęście oboje postanawiają, że będą udawać, że to nigdy się nie wydarzyło. Równie szybko jednak okazuje się, że to nie takie łatwe, jak oboje myśleli.Książka zawiera treści nieodpowiednie dla osób poniżej osiemnastego roku życia.","6,9",9788383627786,https://lubimyczytac.pl/ksiazka/5166578/shu-to-ut
KinnPorsche Vol. 2,Daemi,2024-12-24,330,angielski,Seven Seas Entertainment,"literatura obyczajowa, romans",e-book,2,0,"After an intimate night with Kinn, Porsche finds himself torn. He never anticipated that becoming the mafia heir’s bodyguard would lead to being dosed with an aphrodisiac and relying on his employer for help. Even more confusing is that part of him enjoyed it. Hurt and bewildered, Porsche wants nothing more than to avoid Kinn, but Kinn seems oblivious to his feelings.To make matters worse, Porsche is now being pursued by hired thugs with orders to capture him alive. What could they possibly want with a bodyguard like him? As their mysterious assailants close in, Porsche must put aside his inner conflict if he and Kinn are to escape.","5,0",9798891600782,https://lubimyczytac.pl/ksiazka/5129991/kinnporsche-vol-2
Dwanaście niedokończonych snów,Natasza Socha,2024-12-24,,polski,Empik Go,"literatura obyczajowa, romans",audiobook,1,0,"Zimowy wieczór jest senny, magiczny i pełen cudów. Jak życie…Momo ma dwadzieścia osiem lat i żyje w gorsecie własnych ograniczeń. Nie pije kawy, nie patrzy ludziom w oczy, nie kupuje kolorowych ubrań, boi się podróżować. Ma za sobą nieudane małżeństwo i skomplikowane relacje z ojcem. Jej światem jest sztuka – Momo projektuje biżuterię i meble z recyklingu.I wtedy pojawiają się sny. Są jak pomost łączący noc z dniem. Próbują jej coś powiedzieć, kłują palcem, puszczają oko. Stają się pośrednikiem między Momo a prawdziwym światem, który ją otacza. Wyznaczają jej kolejne zadania, które musi wypełniać, żeby pójść dalej. Czas kończy się wkrótce...Kim jest osoba, na którą podświadomie czeka?","7,0",9788327290762,https://lubimyczytac.pl/audiobook/5172540/dwanascie-niedokonczonych-snow
Zostań już na zawsze,Ilona Gołębiewska,2024-12-24,,polski,Empik Go,"literatura obyczajowa, romans",audiobook,0,0,"Ucieczka przed przeszłością, niespodziewana szansa od losu i gorące uczucie, które pojawia się w trudnym momencie życia…Czasami przychodzi taki dzień, kiedy trzeba wszystko zostawić za sobą i odważnie ruszyć w nieznane. Kamila Bardo wie, co to znaczy stanąć na życiowym zakręcie. Niedawno wróciła do Polski i w stolicy układa swoje życie. Ma ciekawą pracę, średnio udany związek, ale z nadzieją patrzy w przyszłość.Jednak życie Kamili zaczyna się komplikować. W pracy pada ofiarą mobbingu ze strony przełożonego, związek z Hubertem przechodzi kryzys, a na jej drodze pojawia się ktoś z przeszłości. Chcąc ratować siebie, nawiązuje kontakt z bratem i za jego namową po kilkunastu latach odwiedza rodzinne Budlewice na Mazurach. To powoduje wiele zmian. Kamila ucieka z pracy i dostaje nową w salonie meblowym brata, nadzoruje rewitalizację starego ogrodu i próbuje naprawić złe relacje z matką. Poznaje również Janka, architekta krajobrazu, którego pamięta z czasów dzieciństwa. Boi się wyznać mu swoje tajemnice, przez które grozi jej prawdziwe niebezpieczeństwo…Czy życie z dala od rodziny może dać szczęście? Co jest lepsze – szczery związek czy niezobowiązująca relacja? Czy warto żyć przeszłością?Porywająca, pełna emocji i tajemnicza historia o tym, że czasami warto zamknąć za sobą wszystkie drzwi i z odwagą ruszyć w świat. Przeszłość jest tym, co trzeba pożegnać na zawsze. Liczy się jedynie to, co dopiero przed nami. Trzeba zaufać swojemu sercu. Kto wie, może za kolejnym zakrętem czeka na nas wielkie szczęście?","0,0",9788327290403,https://lubimyczytac.pl/audiobook/5172539/zostan-juz-na-zawsze
Whistleblower,Jen Lyon,2024-12-23,396,angielski,Doss About Publishing,"literatura obyczajowa, romans",papier,1,0,"As Alex's career continues to flourish as a US soccer star, Catharine struggles to keep her world from falling apart. Dealing with the repercussions of a high-profile divorce, while Carlton's campaign marches toward the primary election, her only solace remains in her blossoming relationship with Alex.But as the stakes get higher, and the pressures of publicity increase, it isn't only their love that is put to the test.Revenge. Deceit. Betrayal.Every action has a reaction. And payback is a...Whistleblower is Book III of The Senator's Wife Series.","7,0",,https://lubimyczytac.pl/ksiazka/5120597/whistleblower
Riding Dirty for Christmas,FERN FRASER,2024-12-22,155,angielski,Kindle Edition,"literatura obyczajowa, romans",e-book,1,0,"JackPour whiskey. Growl at tourists. That’s my life, and I like to keep things simple. Until Eden walks in—all sunshine and temptation. One night with her, and I’m hooked. But when I find out who she is, things get complicated.Eden’s already planning her escape, ashamed of what we’ve done. I’m not letting her go that easily. There’s more between us, and I’ll prove it—before our secret tears apart our family and any chance we have at being together.EdenI fly home to stop my mom from making another huge mistake—marrying a man she barely knows. Solid plan, right? Then I meet Jack.","5,0",,https://lubimyczytac.pl/ksiazka/5169925/riding-dirty-for-christmas
