title,author,release_date,page_count,language,publisher,genre,format,reviews,ratings,description,avg_score,ibsn,link
Jarzmo i Strzały. Antologia tekstów z lat 1931-1936,José Antonio Primo de Rivera,2024-12-20,255,polski,Agencja Wydawniczo-Reklamowa ARTE,"publicystyka literacka, eseje",papier,0,0,"Niech od teraz będzie wiadome, że dzisiejszy ruch, który nie jest partą, tylko ruchem - moglibyśmy nieomal powiedzieć: antypartią - nie jest prawicowy, ani lewicowy. Dlatego że prawica to w głębi dążenie do utrzymania struktury gospodarczej, choćby była ona niesprawiedliwa, natomiast lewica to w głębi pragnienie zaburzenia struktury gospodarczej, choćby jej burzenie pociągnęło za sobą zniszczenie wielu słusznych elementów. Oczywiście, w jednym i drugim przypadku to zasadnicze pragnienie zostaje przyozdobione mnóstwo rozważań duchowych. Niech wszyscy, którzy słuchają nas w dobrej wierze, wiedzą, że wszystkie te rozważania duchowe mieszczą się w naszym ruchu. Nasz ruch za nic nie zwiąże jednak swoich losów z interesem grupowym lub klasowym, który kryje się pod powierzchownym podziałem na prawicę i lewicę.Ojczyzna jest całkowitą jednością, tworzoną przez wszystkich pojedynczych ludzi i wszystkie klasy. Ojczyzna nie może znajdować się w rękach najsilniejszej klasy ani najlepiej zorganizowanej partii. Ojczyzna jest syntezą transcendentną, syntezą niepodzielną, która ma własne cele do spełnienia. My chcemy zaś, żeby dzisiejszy ruch (i państwo, które utworzy) był skutecznym narzędziem władzy, w służbie niekwestionowanej jedności, tej trwałej jedności, tej ostatecznej jedności, której na imię Ojczyzna.José Antonio Primo de Rivera, przemówienie założycielskie Falangi Hiszpańskiej, 29 października 1933 r.","0,0",9788360673287,https://lubimyczytac.pl/ksiazka/5172881/jarzmo-i-strzaly-antologia-tekstow-z-lat-1931-1936
Czuwaj!,Marek Miśko,2024-12-20,434,polski,Wydawnictwo Capital,"publicystyka literacka, eseje",papier,0,0,"Spodziewajcie się na zapisanych tu kartach wielu konkretów, ale nie łudźcie się, że ktokolwiek zna receptę na wszystko – autor również jej nie zna. Po co więc zapisywać te wszystkie strony treścią? Abyście poczuli, że nie jesteście sami w rozumnym pojmowaniu rzeczywistości. Żebyście nie tracili nadziei! Tego nigdy nie wolno nam zrobić! Żebyśmy szukali tak długo, aż znajdziemy. „[…] I pod wiatr każdego dnia, iść w przód ciągle – nieustannie. Jest nas tylu, będzie więcej, dokonamy przecież wiele, chcieć to móc – to jest wszystko! Nie zginiemy marnie!”. [Legion – My Nowe Pokolenie] Marek Miśko, czuwaj!Marek Miśko: katolik tradycyjny, chwilowo ziemski. Radiowiec starej daty, twórca popularnego i lubianego Kanału Marek Miśko Czuwaj! Społecznie działa od 25 lat, w mediach spędził ich blisko 19. Jeszcze nie ma czterdziestki, a już jest ojcem czworga dzieci i mężem jednej żony – od lat 16.","0,0",9788367607742,https://lubimyczytac.pl/ksiazka/5172115/czuwaj
Dlaczego praca powinna mieć sens,Kamil Batko,2024-12-19,,polski,kamilbatko.pl,"publicystyka literacka, eseje",e-book,0,0,"""W ostatnich latach szukałem idealnej pracy dla siebie. Zmusił mnie do tego egzystencjalny kryzys. Wpadłem w pułapkę braku poczucia sensu w życiu. Nie potrafiłem odpowiedzieć sobie na pytania: Po co tu jestem? Czy to już wszystko co mnie w życiu spotka? Miałem dość wymiany czasu i energii za pieniądze. Droga,którą przeszedłem uświadomiła mi jak ważne jest to, czym się zajmuję na co dzień. Skończyłem ignorować wpływ pracy na moje poczucie własnej wartości, satysfakcję i zadowolenie z życia. Na mój poziom szczęścia i dobrostan..""","0,0",,https://lubimyczytac.pl/ksiazka/5172120/dlaczego-praca-powinna-miec-sens
Gnom Jari z Kryształowej Góry i inne baśnie,praca zbiorowa,2024-12-17,252,polski,Bibliotekarium,"baśnie, legendy, podania",papier,0,0,"Zbiór siedemnastu baśni, które przenoszą czytelnika do magicznych światów. Opowieści nie tylko pobudzają wyobraźnię, ale również stawiają przed młodym odbiorcą szereg ważnych pytań. Bawią, uczą empatii oraz krytycznego spojrzenia na świat.","0,0",9788396959997,https://lubimyczytac.pl/ksiazka/5174363/gnom-jari-z-krysztalowej-gory-i-inne-basnie
Ludzie nieznaczni. Taktyki przetrwania,Agnieszka Dauksza,2024-12-13,304,polski,"Karakter, słowo/obraz terytoria","publicystyka literacka, eseje",papier,0,1,"Dokonuje się właśnie zasadnicza zmiana kulturowa. Dominujący przez dekady model sukcesu, produktywności i dążenia do celu ulega erozji, odsłaniając pokłady tego, co słabe, niedoskonałe, nieudane, zwyczajne. W sferze publicznej pojawia się przyzwolenie na okazywanie własnej niemocy i bezsilności. Porażka przestaje wzbudzać wstyd, coraz częściej bywa postrzegana jako jedno z najbardziej powszechnych i zarazem twórczych doświadczeń. Autorka stawia pytania o jego wymiary – jak przegrywać we własnym stylu, czerpać satysfakcję z porażki, ale i jak używać jej do forsowania zmiany społecznej. Zastanawia się nad wywrotowym potencjałem bezsilności, która czerpie siłę z intuicji i niepokoju.W pasjonującym eseju Agnieszka Dauksza przygląda się strategiom oporu i taktykom przetrwania – przewodniczkami w tych poszukiwaniach są performerki, osoby publiczne, artystki, postacie literackie oraz zwierzęta. Na przykład meduzy, które łącząc swoje komórki, wyznaczają trop w dążeniu do „my” przekraczającego wrogość i osobnicze podziały.Autorka pyta, co to znaczy być osobą nieznaczną, i pisze, dlaczego właśnie odczucie tego stanu może pomóc w przetrwaniu wielogatunkowej wspólnoty.","0,0",9788368059489,https://lubimyczytac.pl/ksiazka/5169234/ludzie-nieznaczni-taktyki-przetrwania
Czy Polskę stać na niepodległość?,Bronisław Łagowski,2024-12-13,432,polski,Universitas,"publicystyka literacka, eseje",papier,0,0,"Teksty wybrane z lat 1991–2019.Niepodległościowa retoryka naszych partii irytuje mnie. Nie dlatego, że niepodległość lekceważę, lecz z tego powodu, że ta retoryka brzmi fałszywie. Deklamacje niepodległościowe nie wyrastają ze zrozumienia rzeczy, są płytkie i nie towarzyszy im świadomość, co trzeba w obecnych warunkach historycznych robić, aby niepodległość zachować i mieć z niej wymierne korzyści.Bronisław ŁagowskiŁagowski stanowi wzór bezkompromisowości i odwagi myślenia. Choć jego podejście do polityki traktuje kompromis jako wielką wartość, dziedzina myślenia jest dla niego tą sferą, w której nie należy iść na kompromisy.Piotr KimlaWiele jego uwag, zazwyczaj przestróg, odnośnie do stanu polskiej polityki i państwa niestety potwierdziło się. „Lekcje Łagowskiego” w wielu obszarach są wciąż do odrobienia.Maciej ZakrzewskiŁagowski uświadamia, że pytanie „Czy Polskę stać na niepodległość?” to nie jest retoryczny chwyt, wezwanie do boju czy okrzyk na wiecu, ale realny problem, nad którym elity narodu powinny się stale pochylać. Odpowiedź na to pytanie nie jest funkcją naszych pragnień, ale tego, czego potrafimy realnie dokonać. Polski z pewnością nie stać – jak podczas ostatniej wojny pouczał Ksawery Pruszyński – na luksus niemyślenia. Publicystyka Łagowskiego na taki luksus nie pozwala.","0,0",9788324268320,https://lubimyczytac.pl/ksiazka/5171263/czy-polske-stac-na-niepodleglosc
Patriotyzm i zdrada. Wykłady z historii Polski,Andrzej Nowak (historyk),2024-12-11,328,polski,Fronda,"publicystyka literacka, eseje",papier,5,1,"Dawno oczekiwana książka prof. Andrzeja Nowaka zawierająca jego wykłady stawiające fundamentalne dla Polaków pytania o narodową tożsamość, o wspólnotę, wierność narodowym pryncypiom. Ale autor pyta też o zdrady - te nasze indywidualne i wielkie narodowe, wskazując jednoznacznie, że Targowica nie narodziła się nagle, a narastała jak wrzód na żywej tkance wspólnoty.Wolność obywatelska w republice polega na tym, żeby wybierać tak, aby dobrze było nie tylko jednostkom, ale by Rzeczpospolita kwitła jako wspólne dobro. Żeby inni jej obywatele mieli się równie dobrze w tej samej Rzeczypospolitej.- Czy możemy zrezygnować ze wspólnoty?- Jak kosztowna jest ucieczka od własnej historii?- Jaka jest cena wolności a jaka zdrady?- Kim i jacy byliśmy w naszej historii?- Jakim przykładem będziemy dla potomności?- Czy stawiane pięćset lat temu pytania Stanisława Orzechowskiego, jednego znajważniejszych pisarzy myśli politycznej w naszej historii, jeszcze są aktualne?- Czy nadal chcemy budować wspólną historię?Prof. Andrzej Nowak - historyk, sowietolog, publicysta, profesor nauk humanistycznych, kierownik Pracowni Historii Europy Wschodniej w Instytucie Historii UJ oraz Pracowni Historii Europy Wschodniej i Studiów nad Imperiami XIX i XX wieku w IH PAN. Redaktor naczelny czasopisma „Arcana” (1991-2012),autor m.in. „Dziejów Polski”. Kawaler Orderu Orła Białego.","5,2",9788380790926,https://lubimyczytac.pl/ksiazka/5168117/patriotyzm-i-zdrada-wyklady-z-historii-polski
Wołanie,Oriah Mountain Dreamer,2024-12-10,222,polski,CoJaNaTo,"publicystyka literacka, eseje",papier,1,1,"W Zaproszeniu niezwykle oryginalna pisarka i nauczycielka Oriah Mountain Dreamer pisała o pragnieniach skrytych w głębi naszych serc. W Tańcu przyglądała się temu, jak żyć tymi pragnieniami.Jej trzecia książka, zatytułowanej Wołanie, opowiada o odkrywaniu odpowiedzi na pytanie „dlaczego”: Dlaczego tu jesteśmy? Dlaczego każde z nas musi podjąć wyzwanie przejścia od pragnień swojej duszy do pełnego życia w świecie? Wołanie składa się z poruszających historii i mądrości zrodzonej z doświadczenia. To osobista, intymna opowieść o życiowej podróży i odpowiadaniu na to, co nas wzywa – a co objawia się w niespodziewanych formach. Wraz z Oriah odkrywamy, że aby żyć w pełni, potrzebujemy ze szczerością być tym, kim jesteśmy – odbiciem świętej Obecności, która wykracza poza myśl – w naszej pełnej trudów rzeczywistości i codziennych zmaganiach.Oriah rzuca wyzwania naszemu spoglądaniu na świat, a równocześnie przedstawia wizję, która jest praktyczna i bezkompromisowa: musimy każdego dnia działać w zgodzie z esencją tego, kim jesteśmy, szukać znaczeń w swoim unikatowym byciu i tym, do czego każde z nas zostało powołane. Wołanie wzywa do życia w głębokiej duchowości i pełnym człowieczeństwie.","8,0",9788367916271,https://lubimyczytac.pl/ksiazka/5169002/wolanie
Spiskowcy wyobraźni. Surrealizm,Agnieszka Taborska,2024-12-06,456,polski,słowo/obraz terytoria,"publicystyka literacka, eseje",papier,49,4,"Trzecia edycja kultowej książki Agnieszki Taborskiej Spiskowcy wyobraźni. Surrealizm wpisuje się w obchody stulecia powstania ruchu. W 2024 roku minął bowiem wiek od ukazania się Manifestu surrealizmu André Bretona. Spiskowcy opisują „odkrycie” surrealistek w latach dziewięćdziesiątych ubiegłego stulecia oraz przywrócenie wagi technikom bardziej efemerycznym od malarstwa czy rzeźby: kolażom, rysunkom automatycznym, fotografii i tworzeniu przedmiotów. Jubileuszowa edycja Spiskowców dodatkowo dokumentuje zmianę w myśleniu, jaką na przełomie 2021 i 2022 roku przyniosła wystawa „Surrealizm bez granic”, którą zorganizowano w nowojorskim Metropolitan Museum of Art. Okazało się, że to ruch ogarniający cały świat, bo – cytując Wilhelma Freddiego – „surrealizm nie jest ani stylem, ani filozofią, lecz stanem ducha”. Surrealizm ma sto lat, nowy rozdział Spiskowców, podsumowuje dokonania ruchu i jego wpływ na takie kierunki sztuki i literatury, jak ekspresjonizm abstrakcyjny, popart, Międzynarodówka Sytuacjonistyczna, Nowa Krytyka, metafikcja, teatr absurdu, poezja bitników, performance, instalacja, afrosurrealizm, nurt Negritude oraz sztuka artystów nieprofesjonalnych.","8,2",9788383251516,https://lubimyczytac.pl/ksiazka/5169615/spiskowcy-wyobrazni-surrealizm
Psychologiczna struktura faszyzmu,Georges Bataille,2024-12-04,162,polski,słowo/obraz terytoria,"publicystyka literacka, eseje",papier,1,1,"Na początku lat trzydziestych XX wieku gwałtownie wzrastająca siła faszyzmu i tendencji nacjonalistycznych postawiła przed Europą wizję lawinowego upadku demokracji w kolejnych krajach. Było w tym czasie niemal pewne, że Mussolini i Hitler wskazali drogę, którą pójdzie legion.Bataille, od początku świadom groźby gigantycznej katastrofy, wiedział, że skuteczne przeciwstawienie się postępom faszyzmu będzie możliwe tylko wtedy, gdy to całkowicie nowe, fascynujące zjawisko zostanie dogłębnie zbadane i zrozumiane. Co takiego w faszyzmie było rzeczywiście nowe? Skąd wziął się jego tryumf? Jakie są jego podstawy społeczne? Na jakie potrzeby faszyzm odpowiada i skąd czerpie swoją siłę?W tekstach zebranych w niniejszym zbiorze Bataille próbuje udzielać odpowiedzi na te pytania, występując co chwilę w innej roli – jako zdystansowany teoretyk, jako polityczny aktywista, jako twórca religijnej sekty, jako nietzscheański myśliciel. Pierwszy z tych esejów pisany był w roku dojścia Hitlera do władzy, ostatni na trzy miesiące przed wybuchem wojny.","7,0",9788383250724,https://lubimyczytac.pl/ksiazka/5103284/psychologiczna-struktura-faszyzmu
