title,author,release_date,page_count,language,publisher,genre,format,reviews,ratings,description,avg_score,ibsn,link
Pułapka na myszy,Michał Występek,2024-12-27,,polski,KAGO,"kryminał, sensacja, thriller",audiobook,10,0,"Główny bohater opowieści, parający się dziennikarstwem mężczyzna, jest przytłoczony i wypalony przez prywatne i zawodowe problemy. Szukając spokoju, udaje się na górską wędrówkę, ale przyświeca mu konkretny cel. Chce dotrzeć do ogólnie dostępnej, stojącej na krańcu szlaku chaty, która podczas niekorzystnej aury, zapewnia turystom schronienie. Naiwnie ufa, że nawet krótki pobyt z dala od ludzi, może mieć dla niego zbawienne działanie. W trakcie drogi, znienacka rozpętuje się śnieżna nawałnica.Niespodziewanie w tym samym miejscu, zjawia się kobieta, która twierdzi, że pragnie jedynie przeczekać zamieć. Przypadkowe spotkanie bardzo szybko, przeistacza się w pełną napięcia grę, a na jaw, zaczynają wychodzić niepokojące fakty...","5,7",9788397421318,https://lubimyczytac.pl/audiobook/5173018/pulapka-na-myszy
The Family Next Door,Charlotte Stevenson,2024-12-27,270,angielski,Bloodhound Books,"kryminał, sensacja, thriller",papier,1,0,"Perfect Neighbours, Perfect Lies…When Viola's new neighbours move into Number 33, everything seems picture-perfect.But behindthe manicured lawn and polite smiles, dark secrets lurk in the shadows. As Viola, a quiet retiree, digs deeper into the strange behaviour of the family next door, she uncovers a disturbing web of lies.The father, Rhys, is hostile. The mother, Wendy, seems to be losing her grip on reality. And their daughter, Mirabelle is an eerie eight-year-old.When Viola sneaks into Number 33, she discovers a locked room and a secret hidden inside. Soon her curiosity turns into obsession. But as she pushes closer to the truth, the family turns the tables and suddenly, Viola is the one questioning her own sanity.Will Viola uncover the sinister truth… or is she the next victim in this twisted game of cat and mouse?The Family Next Door is a chilling psychological thriller that will keep you guessing until the very last page.","4,0",9781917449519,https://lubimyczytac.pl/ksiazka/5174477/the-family-next-door
The Widow’s Lie,Melanie Price,2024-12-26,,angielski,Wendlebury,"kryminał, sensacja, thriller",e-book,2,0,"‘I’m your new neighbor!’ I say, my voice full of attempted cheer. My heart starts to race as her bright blue eyes stare into mine, assessing every inch of me. A shiver runs down my spine as a realization dawns. I swear I’ve seen them before...I remember the first time I saw the name “Anastasia Drummond”. It was splashed all over the news. She’d had it all. Until the day her older, wealthy husband dropped dead. Despite the rumors that she had something to do with it, nothing was ever proven. All the same, I can understand why they jumped to the conclusion - Anastasia is young and beautiful with her rosy red lips and perfect smile.That was a year ago, and I didn’t hear anything more about her. Until now. Anastasia has turned up across the street with her little girl. I’m determined to welcome them: it was the privacy of our picturesque cul-de-sac that first attracted me, too. But right from the moment we meet, Anastasia seems to dislike me. And close up, I realize there’s something unnervingly familiar about her bright blue eyes… They look just like my husband’s ex-wife. The one who disappeared.My husband, Charles, tells me that I’m just imagining things. Yes, his first wife’s body was never found, but the police ruled it a tragic accidental death. I try to push away the niggle of doubt. But then Anastasia starts sniffing around my life, touching Charles’s arm, and laughing with my friends behind my back. She doesn’t appear to be a sad widow. Not at all. I think her whole life might be a lie.I’m going to discover the truth. Because what Anastasia doesn’t know is that I have secrets of my own. And I will do anything to keep them safe…An absolutely unputdownable psychological thriller that will have you glued to the pages and screaming at your Kindle at the jaw-dropping twist. If you love The Perfect Marriage, Gone Girl and anything by Lisa Jewell or Nicola Sanders, you’ll be hooked on The Widow's Lie!","7,0",9781738465248,https://lubimyczytac.pl/ksiazka/5171521/the-widow-s-lie
Cień,Daria Kucharska,2024-12-20,183,polski,Ridero,"kryminał, sensacja, thriller",e-book,3,2,"Ira i Maga- jednojajowe siostry bliźniaczki. Pierwsza- mieszkająca w Hiszpanii artystyczna dusza, ciągle poszukująca siebie, druga- perfekcjonistka, wiodąca idealne życie w Warszawie u boku męża Olgierda. Gdy Ira znika bez śladu, Maga postanawia ją odnaleźć. Na jakie napotka tajemnice i które z nich uda jej się rozwikłać?Czy litewska mafia mogła przyczynić się do jej zaginięcia? I kim jest człowiek nazywany przez porucznika Guzmana „Cieniem”?Książka jest przeznaczona dla osób pełnoletnich.","8,0",9788383849270,https://lubimyczytac.pl/ksiazka/5172449/cien
Widziałam Joannę,Mariusz Koperski,2024-12-19,303,polski,Astraia,"kryminał, sensacja, thriller",papier,3,2,"Wczesnym popołudniem pewnego zimowego dnia do górnej stacji kolejki linowej na Kasprowym Wierchu dociera wagonik kolejki. Warunki są trudne, wieje silny wiatr i pada gęsty śnieg. Zgodnie z praktyką w takich sytuacjach na górę wwiezieni zostają tylko narciarze.Gdy są już na stacji, jeden z nich stwierdza, że nigdzie nie może znaleźć swojej żony Joanny. Zaklina się, że jeszcze przed chwilą widział ją w wagoniku. Panikuje, wpada w histerię, i możliwe, że to jego zachowanie doprowadza do tragedii: inny pasażer umiera, prawdopodobnie na zawał.Tymczasem wiatr jest już tak silny, że nie ma mowy o tym, by kolejka zjechała na dół i zwiozła pechowych turystów. Warunki w obu kotłach także są fatalne i nikt nie odważa się, zjechać do Kuźnic na nartach. Pasażerowie utknęli więc na górze i muszą czekać na poprawę pogody.Mężczyzna nadal twierdzi, że w wagoniku jechała jego żona, lecz nikt mu nie wierzy. Wtedy zgłasza się Iza, która przypomina sobie Joannę. Jest pewna, że widziała kobietę podczas jazdy kolejką. Problem polega na tym, że tylko ona ją pamięta. Oraz na tym, że Joanny rzeczywiście nigdzie nie ma.Iza, narratorka powieści, która wybrała się na Kasprowy, żeby uporać się z własnymi demonami przeszłości, krok po kroku angażuje się w sprawę wyjaśnienia zaginięcia kobiety. Odkrywa tajemnicze fakty z życia Joanny i powiązania innych pasażerów kolejki z tą tajemniczą sprawą.Czy Joanna nadal żyje? Jeśli tak, co się z nią stało? Czy któryś z pasażerów kolejki miał coś wspólnego z jej zniknięciem? A może Joanna nigdy nie istniała?Rozwiązanie zagadki, stanie się dla Izy ogromnym wyzwaniem, za które będzie musiała zapłacić także osobistą cenę.Powieść „Widziałam Joannę” została wydana dzięki wsparciu Polskich Kolei Linowych w ramach programu „PKL– Pasje Górą”.Autor dziękuje za okazaną mu życzliwość i wszelką pomoc merytoryczną wielu pracownikom PKL, za czas poświęcony na rozmowy o funkcjonowaniu kolejki i stacji na Kasprowym Wierchu.","7,7",9788365686770,https://lubimyczytac.pl/ksiazka/5173609/widzialam-joanne
Ostatnia noc Aurory,Barbara Baraldi,2024-12-18,472,polski,Wydawnictwo LeTra,"kryminał, sensacja, thriller",papier,9,4,"Trzecia część trylogii o błyskotliwej i skomplikowanej profilerce, podobnie jak dwie poprzednie, dzieje się wśród nizinnych krajobrazów środkowych Włoch.Rany duszy są najtrudniejsze do wyleczenia.Doskonale o tym wie Aurora Scalviati, borykająca się z bolesną przeszłością profilerka policji. Dlatego zgodziła się opowiedzieć swoją historię na konferencji profesora Menni, jednego z czołowych ekspertów w dziedzinie zaburzeń pourazowych. To właśnie tutaj Aurora spotyka tajemniczą dziewczynę która zadaje jej wyjątkowe pytanie: „Czy myślisz, że naprawdę możesz wydostać się z ciemności?”.Pytanie to wkrótce zamienia się w testament – młoda kobieta odbiera sobie życie, rzucając się z pałacowej wieży. Sprawa szybko zostaje uznana za samobójstwo, ale Aurora ma duże wątpliwości. Czy ostatnie słowa nieznajomej nie były rozpaczliwym błaganiem o pomoc? Czy policjantka mogła zrobić coś, by uratować dziewczynę?Aurora nie ma jednak czasu na poczucie winy. Odkrycie oszpeconych zwłok na mieliźnie, na brzegu rzeki Pad zmusza ją do zrewidowania swoich priorytetów. Jedyną wskazówką jest zdjęcie małej dziewczynki, które ofiara zachowała jako złowieszcze trofeum. To początek polowania na okrutnego seryjnego mordercę, równie nieuchwytnego jak straszydło z popularnej legendy opowiadanej, aby uciszyć dzieci: Grigione, który odrywa twarze swoich ofiar po tańcu z ich lękami.Policjantka wie, że nie może działać sama: musi zjednoczyć swój stary zespół. Ale kiedy Bruno i Silvia odwracają się do niej plecami, jedynym rozmówcą pozostaje enigmatyczny Curzi, który, choć zamknięty w zakładzie psychiatrycznym, wydaje się znać prawdę. Aurora podejmuje ogromne ryzyko. Pogodzenie się ze złem może odkryć tajemnice, które powinny pozostać pogrzebane na zawsze...","8,3",9788321353074,https://lubimyczytac.pl/ksiazka/5169513/ostatnia-noc-aurory
Wszyscy jesteśmy martwi. Część czwarta,Sara Önnebo,2024-12-18,88,polski,Word Audio Publishing International,"kryminał, sensacja, thriller",audiobook,60,8,"Do świąt Bożego Narodzenia zostaje tylko tydzień, lecz prowadzone przez policję śledztwo wciąż stoi w miejscu. Mieszkańcy okolicy są coraz bardziej zaniepokojeni. Funkcjonariusze Gisela Forsell i Linus Mikkola muszą się pospieszyć, jeśli chcą rozwiązać sprawę morderstw przed Wigilią. Pewne mroczne sekrety i kłamstwa w końcu wychodzą na światło dzienne, a dochodzenie przybiera nieoczekiwany obrót.To ostatnia część czterotomowej serii pt. „Krwawe Święta” opowiadającej o tym tajemniczym i trudnym do rozwikłania śledztwie.","6,1",,https://lubimyczytac.pl/audiobook/5171059/wszyscy-jestesmy-martwi-czesc-czwarta
Dworzec,Jacopo De Michelis,2024-12-18,864,polski,Sonia Draga,"kryminał, sensacja, thriller",papier,2,0,"Wciągający thriller o mrocznych tajemnicach skrywanych w murach potężnego dworca w Mediolanie.Riccardo Mezzanotte, młody policjant z burzliwą przeszłością, rozpoczyna służbę w komisariacie policji przy Dworcu Centralnym. Prowadząc śledztwo dotyczące potwornie okaleczonych trucheł zwierząt, szybko domyśla się, że chodzi tu o coś więcej. Nie spodziewa się jednak, że sprawa może mieć związek z peronem, z którego podczas II wojny światowej wywożono Żydów do nazistowskich obozów koncentracyjnych.Laura Cordero, piękna i zamożna dziewczyna posiadająca niespotykany dar, który jest dla niej także przekleństwem, zgłasza się do pracy jako wolontariuszka na tym samym dworcu. Pomaga osobom z marginesu społecznego, a jednocześnie stara się odnaleźć dwójkę dzieci, które widywała bez opieki na stacji.Losy obojga z czasem się splatają, a co więcej, obie sprawy okazują się być powiązane z czymś poważniejszym i bardziej tajemniczym, wyjątkowo mrocznym i niebezpiecznym.Pełen napięcia i zwrotów akcji, a przy tym subtelny i głęboko poruszający, Dworzec to mrożący krew w żyłach debiut z umiejętnie skonstruowaną fabułą, trzymający w niepewności do samego końca.","8,5",9788382308587,https://lubimyczytac.pl/ksiazka/5101989/dworzec
Cleaners Wanted,Alex Franklyn,2024-12-18,225,angielski,SpellBound Books,"kryminał, sensacja, thriller",e-book,1,0,"In Alex Franklyns second novel she moves into a comedy, gangster crime caper, where we meet John and Billy (Biben),who are quite the disaster area when asked to perform most duties let alone taking on board the role of cleaners for a rouge hitman Daniel.Both dissatisfied with only being warehouse workers for the London Docklands lady mobster Ruby Girthwaite (who wouldn’t trust them to handle a door knob let alone a deal) they look for additional work to pay the bills. The local hood pub landlord puts them in contact with his old mate Daniel who is desperate for a couple of people to ‘work after hours’.Things start to go awry when they realise that their rouge hitman turns out to have his vendetta against their main boss Ruby due to some unfinished business, definitely resulting in a conflict of interest for them.With the long suffering police detective chasing after Ruby for years they hope to catch her via the pub landlord, John and Billy. With the hits going wrong and information being leaked, the confusion leads to some ridiculous and unexpected turns of events.Trigger warnings: profanity, some inappropriate comments, stupid, brain candy and absolutely no intellectual nutritional value in this book whatsoever… like chocolate cake.","7,0",,https://lubimyczytac.pl/ksiazka/5171523/cleaners-wanted
Gnom Jari z Kryształowej Góry i inne baśnie,praca zbiorowa,2024-12-17,252,polski,Bibliotekarium,"baśnie, legendy, podania",papier,0,0,"Zbiór siedemnastu baśni, które przenoszą czytelnika do magicznych światów. Opowieści nie tylko pobudzają wyobraźnię, ale również stawiają przed młodym odbiorcą szereg ważnych pytań. Bawią, uczą empatii oraz krytycznego spojrzenia na świat.","0,0",9788396959997,https://lubimyczytac.pl/ksiazka/5174363/gnom-jari-z-krysztalowej-gory-i-inne-basnie
